conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/92ca09cb-e827-4c49-b318-8f540de4debb,skill/competence,transversal,understand spoken Hebrew,released,understanding spoken Hebrew | listen to Hebrew | understand spoken Hebrew | make sense of spoken Hebrew | comprehend spoken Hebrew | interpret spoken Hebrew | understand Hebrew speech,Comprehend orally expressed Hebrew.,http://data.europa.eu/esco/skill/8a45f04a-cd28-4ac1-8e8b-ecfd21be0b18,Hebrew
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/943fe908-c465-4e91-944c-20e2242fd03a,skill/competence,transversal,understand spoken Bulgarian,released,comprehend spoken Bulgarian | understand Bulgarian speech | understanding spoken Bulgarian | listen to Bulgarian | understand spoken Bulgarian | make sense of spoken Bulgarian | interpret spoken Bulgarian,Comprehend orally expressed Bulgarian.,http://data.europa.eu/esco/skill/d5fd4958-4ca6-4d06-845f-713e2c459612,Bulgarian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/96ab25a3-c89b-43ea-833b-26b637c3b6ed,skill/competence,transversal,understand written Dutch,released,understand Dutch writing | understanding written Dutch | make sense of written Dutch | understand written Flemish | understand written Dutch | comprehend written Dutch | read Dutch | interpret written Dutch | read Flemish,Read and comprehend written texts in Dutch.,http://data.europa.eu/esco/skill/cad4f44b-28a8-4448-86e5-7389e5ebf3eb,Dutch
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/97ca0f19-c53f-4c38-b983-398345cba227,skill/competence,transversal,write Albanian,released,write Albanian | show competency in written Albanian | correspond in written Albanian | writing Albanian,Compose written texts in Albanian.,http://data.europa.eu/esco/skill/f1a08ec9-32d2-4e52-ba4a-66e049019be8,Albanian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/98d31888-bb47-4f54-b339-bd0b9c289048,skill/competence,transversal,interact verbally in Slovenian,released,verbally interact in Slovenian | speak Slovenian | interacting verbally in Slovenian | be fluent in Slovenian | communicate verbally in Slovenian | interact verbally in Slovenian | speak Slovene,Communicate orally in Slovenian.,http://data.europa.eu/esco/skill/9ace3aae-aeae-4ed6-b625-26bc58345554,Slovenian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/99933cd7-7868-4f83-8bb3-d747433159d3,skill/competence,transversal,understand spoken Lithuanian,released,understanding spoken Lithuanian | understand Lithuanian speech | comprehend spoken Lithuanian | interpret spoken Lithuanian | listen to Lithuanian | make sense of spoken Lithuanian | understand spoken Lithuanian,Comprehend orally expressed Lithuanian.,http://data.europa.eu/esco/skill/b3950b87-a980-4cd4-a795-be8a9b63661d,Lithuanian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9996836f-788c-4f04-a792-c831b2e94e2f,skill/competence,transversal,understand written Marathi,released,make sense of written Marathi | understand written Marathi | understand Marathi writing | interpret written Marathi | read Marathi | comprehend written Marathi | understanding written Marathi,Read and comprehend written texts in Marathi.,http://data.europa.eu/esco/skill/2080075c-0488-4fbf-a786-734dbbef31ce,Marathi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/99b3532b-2f47-47f5-b194-708957acf0a8,skill/competence,transversal,understand spoken Basque,released,listen to Basque | make sense of spoken Basque | interpret spoken Basque | understand Basque  speech | comprehend spoken Basque | understanding spoken Basque | understand spoken Basque,Comprehend orally expressed Basque.,http://data.europa.eu/esco/skill/a28fa5f1-be5b-4608-8376-acea8c2f8cb1,Basque
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9a42bdc6-8496-4874-b9f5-b48207a85282,skill/competence,transversal,interact verbally in Greek,released,interacting verbally in Greek | be fluent in Greek | speak Greek | communicate verbally in Greek | verbally interact in Greek | interact verbally in Greek,Communicate orally in Greek.,http://data.europa.eu/esco/skill/ea4ebfa1-e17a-4416-ac54-955f33e6ade7,Greek
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9ace3aae-aeae-4ed6-b625-26bc58345554,knowledge,transversal,Slovenian,released,Slovene | ability to comprehend spoken and written Slovenian and to speak and write in Slovenian | competent in Slovenian | Slovenian,The Slovenian language. Slovenian is an official and working language of the EU.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9b0baaa7-fed3-41b7-b74e-9d459f11acfe,knowledge,transversal,Gujarati,released,ability to comprehend spoken and written Gujarati and to speak and write in Gujarati | Gujarati | competent in Gujarati,The Gujarati language.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
