conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/eadf0f36-cba0-4e68-8458-c91bc60b494d,nurse trees,released,skill/competence,sector-specific,nursing trees | tending shrubs | nursing hedges | tend trees | tend hedges | nurse shrubs | nursing shrubs | tend shrubs | nurse hedges | tending trees | tree nursing | tree tending | tending hedges | nurse trees,"Plant, fertilise and trim trees, shrubs and hedges. Examine trees to assess their condition and determine treatment. Work to eradicate insects, fungus and diseases which are harmful to trees, assist with prescribed burning, and work on preventing erosion.",http://data.europa.eu/esco/skill/b7c82b1b-cff9-4641-a62f-e4e28395eade,cultivating land and crops
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/eb65ce8e-61bf-49d1-99bb-cb699ba1005b,radiation protection,released,knowledge,cross-sector,radiation protection | radiation guarding | radiation protecting | protection of radiation | radiation preservation | radiation cover,The measures and procedures used to protect people and the environment from the harmful effects of ionising radiation.,http://data.europa.eu/esco/isced-f/0914,medical diagnostic and treatment technology
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ec4de8aa-9ba4-412b-832d-93361210eae3,marine technology,released,knowledge,cross-sector,maritime technology,"Technologies for the safe use, exploitation, protection of, and intervention in the marine environment. ",http://data.europa.eu/esco/isced-f/0732,building and civil engineering
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ec66a2f9-db12-4eec-936a-47632bfdccfb,perform smart grid feasibility study,released,skill/competence,sector-specific,determine smart grid concept,"Perform the evaluation and assessment of the potential of a smart grid within the project. Realise a standardised study to determine the energy saving contribution, costs and restrictions, and conduct research to support the process of decision making. Consider challenges and opportunities associated with the implementation of wireless technologies for smart grids.",http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06 | http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702,analysing business operations | execute feasibility study
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ec7fd241-e68f-4593-a42a-a12a9bd80cbc,footwear components,released,knowledge,sector-specific,footwear production elements | components of footwear | uppers and bottoms components for footwear | footwear components | uppers and bottoms components | footwear uppers and bottoms components | footwear production parts,"Footwear components both for uppers (vamps, quarters, linings, stiffeners, toe puffs etc.) and bottoms (soles, heels, insoles etc.). Ecological concerns and the importance of recycling. Selection of suitable materials and components based on their influence on the footwear style and characteristics, properties and manufacturability. Procedures and methods in chemical and mechanical processing of leather and non-leather materials.",http://data.europa.eu/esco/isced-f/0723,"textiles (clothes, footwear and leather)"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ecd368bc-6383-4a03-9b61-46e0a94750f7,instruct on energy saving technologies,released,skill/competence,sector-specific,educate on energy saving technologies,"Instruct the facility manager or similar figures on monitoring parameters, to guarantee that the system achieves the designed energy saving goals.",http://data.europa.eu/esco/skill/699e7c26-6502-4e78-a823-3656ff5a5b8b | http://data.europa.eu/esco/skill/caede8f1-6658-4d78-9eb4-2ad2c7ebf09b,instruct others | teaching and training
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ed8dbdd1-5b40-4eaf-adaf-3b1f6d16a37b,hazardous waste storage,released,knowledge,cross-sector,hazardous waste storage | rules concerning hazardous waste | legislation concerning hazardous waste | storing of hazardous waste | hazardous waste storing | regulations about hazardous waste | storing hazardous waste | storage of hazardous waste,The regulations and procedures surrounding the safekeeping of materials and substances which pose health and safety risks.,http://data.europa.eu/esco/isced-f/1021,community sanitation
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/edf0690f-629d-4674-a9df-45fd89413e85,assess groundwater environmental impact,released,skill/competence,sector-specific,estimation of groundwater environmental impact | assessing environmental impact of groundwater | estimating environmental impact of groundwater | assessing of groundwater environmental impact | assess environmental impact of groundwater | estimate environmental impact of groundwater | assess groundwater environmental impact | estimating groundwater environmental impact | groundwater environmental impact estimation | estimation of environmental impact of groundwater | estimating of groundwater environmental impact | assessment of groundwater environmental impact | assessment of environmental impact of groundwater | groundwater environmental impact assessment | assessing groundwater environmental impact | estimate groundwater environmental impact,Estimate environmental impact of groundwater abstraction and management activities.,http://data.europa.eu/esco/skill/e541c69c-ea80-4b17-87cb-4001d0b9d303 | http://data.europa.eu/esco/skill/d519fadd-85bf-475f-bf14-c53a0290687d | http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9 | http://data.europa.eu/esco/skill/101d63ee-bb22-4a7c-9e0a-c2716063696a,"assess environmental impact | monitoring environmental conditions | think critically | make health, safety and environment assessments"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ee02393d-27dd-438a-8879-b8088ce45e79,ICT environmental policies,released,knowledge,occupation-specific,ICT environmental policies,"The international and organisational policies which deal with the assessment of the environmental impact of innovations and developments in the field of ICT, as well as with methods for reducing negative impact and applying ICT innovations to aid the environment.",http://data.europa.eu/esco/isced-f/0611,computer use
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ee62e616-b6e9-49c1-888b-1b4e81f3536e,assist tree identification,released,skill/competence,sector-specific,assist in identification of trees | tree identification assisting | contributing to identification of trees | assisting tree identification | assist tree identification | assisting in identification of trees | tree identification contributing | contribute to tree identification | contribute to identification of trees | contributing to tree identification,"Assist in the development and improvement of techniques for measuring and identifying trees. Obtain and use various sources of information to accurately identify and name trees, use tree characteristics to aid identification, identify tree species in all seasons.",http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9 | http://data.europa.eu/esco/skill/35045957-e9e4-44b1-801a-9a49f6efaece,think critically | marking materials or objects for identification
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/eecbbdd5-5c07-41a4-9486-c0373de7fbab,conduct research on fauna,released,skill/competence,sector-specific,conduct research on fauna | run research on fauna | perform research on fauna | fauna research | research on fauna | carry out research on fauna,"Collect and analyse data about animal life in order to discover the basic aspects such as origin, anatomy, and function.",http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d,analysing scientific and medical data
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ef010091-ddce-410d-9864-9276ef6fe390,district heating and cooling,released,knowledge,sector-specific,heat networks | district heating and cooling systems | district heating and cooling networks | district energy networks | district energy,District heating and cooling exploits local sustainable sources of energy to provide heating and potable hot water to a group of buildings and contributes to improve the energy performance.,http://data.europa.eu/esco/isced-f/0713 | http://data.europa.eu/esco/skill/83fc0b2b-6cd2-46af-b1ff-d3fc83604c26,electricity and energy | energy efficiency
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f03a3387-c4a7-41e3-a5d4-dd4577147940,integrated design,released,knowledge,sector-specific,integrative design,"Approach to design which includes several related disciplines, with the aim to design and build according to the Near Zero Energy Building principles. The interplay between all aspects of building design, building use and outdoor climate.",http://data.europa.eu/esco/skill/80c042de-bc1a-4d78-b266-35bc80ba3093 | http://data.europa.eu/esco/isced-f/0731,architectural design | architecture and town planning
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f12f094b-492f-4e88-b36b-50b8e58b7500,conduct environmental site assessments,released,skill/competence,cross-sector,managing site prospection | environmental site assessment conduct | manage site prospection | conducting of environmental site assessments | managing of site prospection | environmental site assessments conduct | conducting environmental site assessments | conduct environmental site assessments | site prospection management | management of site prospection,Manage and oversee environmental site prospection and assessments for mining or industrial sites. Designate and demarcate areas for geochemical analysis and scientific research.,http://data.europa.eu/esco/skill/3eef7ff2-3ade-41d4-b084-2bd2a3949e1c,assessing land or real estate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f14cfbac-07c5-43de-8b63-51518be99826,design wind turbines,released,skill/competence,sector-specific,wind turbines designing | wind turbine designing | designing wind turbines | wind turbine specifying | specify wind turbines | design wind turbines | specifying wind turbines | wind turbines specifying,"Design the electrical components and blades used in equipment which generates energy from the wind into electrical power, ensuring that the design is optimised to ensure safe and efficient production of energy.",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,designing electrical or electronic systems or equipment
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f191c306-f0eb-4cb8-82fb-3331adbbc6f1,adapt energy distribution schedules,released,skill/competence,sector-specific,adapting energy distribution schedules | energy distribution schedules adapting | modifying energy distribution schedules | adapt energy distribution schedules | energy distribution schedule modifying | energy distribution schedules modifying | modify energy distribution schedules | energy distribution schedule adapting,"Monitor the procedures involved in the distribution of energy in order to assess whether energy supply must be increased or decreased depending on changes in demand, and incorporate these changes into the distribution schedule. Ensure that the changes are complied with.",http://data.europa.eu/esco/skill/8bf9699c-f964-4e4b-ac3d-55aface09cbc | http://data.europa.eu/esco/skill/d9013e0e-e937-43d5-ab71-0e917ee882b8 | http://data.europa.eu/esco/skill/75d8e5d9-bef3-418b-9011-01bff9f27207,operating energy production or distribution equipment | manage time | lead others
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f2071535-4da0-4253-a548-920d170b80e0,design thermal equipment,released,skill/competence,sector-specific,design of thermal equipment | design thermal equipment | designing thermal equipment | specifying thermal equipment | thermal equipment design | specify thermal equipment | thermal equipment designing | thermal equipment specifying,"Conceptually design equipment for healing and cooling using heat transfer principles such as conduction, convection, radiation and combustion. The temperature for these devices should stay stable and optimal, since they continually move heat around the system.",http://data.europa.eu/esco/skill/c34b06c4-d164-4e49-a784-89d47de42ec2,"designing industrial materials, systems or products"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f2412a5c-8072-4cd7-8fa1-806864f91276,by-products and waste,released,knowledge,cross-sector,,"Concepts of by-product and waste. Types of waste and European waste codes industries. Solutions for textile by-products and wastes recovery, reuse and recycling.",http://data.europa.eu/esco/isced-f/1021,community sanitation
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f2704539-8b55-4164-8911-e550a1f9c47f,flower and plant products,released,knowledge,sector-specific,production of flowers and plants | flower and plant production | flower and plant brands | flower and plant parts | flower and plant commodities | flower and plant products | flower and plant producing | flower and plant stock,"The offered flower and plant products, their functionalities, properties and legal and regulatory requirements.",http://data.europa.eu/esco/isced-f/0511 | http://data.europa.eu/esco/skill/d6d3fee7-47e2-47f4-a0ec-6c75f28c6abd,biology | product comprehension
