conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a28df07f-976c-4eb4-b29a-06161af39756,use computerised maintenance management systems,released,skill/competence,sector-specific,"use CMMIS | operate computerised maintenance management systems | follow up maintenance work through use of computerised maintenance management systems | follow up maintenance work through use of CMMS | use computerized  maintenance management systems | ensure effectiveness of maintenance activities through use of computerised maintenance management systems | ensure effectiveness of maintenance through use of CMMS | carry out computerised maintenance management system activities | utilise CMMS | use computerised maintenance management information systems | carry out CMMS activities | use CMMS, utilise computerised maintenance management systems | operate CMMS",Use computerised maintenance management systems (CMMS) in order to facilitate effective follow up of the work undertaken in maintenance facilities.,http://data.europa.eu/esco/skill/b916d60e-38e9-4241-914a-4e2144bda711 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/c5bc42be-4970-4dce-80e2-af78bae42e84,operate computerised control systems | using digital tools for collaboration and productivity | manage maintenance operations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a2b566b0-1070-47a4-adc8-88839942ce25,hybrid control systems,released,knowledge,cross-sector,typology of hybrid control systems | types of hybrid control systems | hybrid control systems | kinds of hybrid control systems,Control systems containing both subsystems with continuous dynamics as well as subsystems with discrete dynamics.,http://data.europa.eu/esco/isced-f/0613,software and applications development and analysis
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a2b5dcf3-5b6a-453d-876c-cff540c0faf1,CAD software,released,knowledge,cross-sector,CADD software | computer assisted design | CAD software | software computer assisted design and drafting software,"The computer-aided design (CAD) software for creating, modifying, analysing or optimising a design.",http://data.europa.eu/esco/isced-f/0613,software and applications development and analysis
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a2fef437-6719-47c2-8552-73b9fe81df86,plan ICT capacity,released,skill/competence,occupation-specific,plan ICT capacity,"Schedule the longer-term hardware capacity, ICT infrastructure, computing resources, human resources and other aspects needed to meet changing demands for ICT products and services.",http://data.europa.eu/esco/skill/2c5cbddf-3393-452f-abb0-8e734d1b61be | http://data.europa.eu/esco/skill/92fc9726-5b5e-439e-a33c-06a8c63fbb9a,plan future capacity requirements | allocating and controlling resources
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a32c2a6d-02ea-42ec-b2b7-66659ce1811c,operate echo sounding equipment,released,skill/competence,sector-specific,use specialist equipment to calculate ocean depth | operate echo sounding equipment | use specialist equipment to measure ocean depth | operate echo sounding SONAR equipment | utilise echo sounders | utilise specialist equipment to calculate ocean depth | operate echo sounders | calculate ocean depth using specialist equipment | utilise echo sounding equipment,"Operate technological equipment to measure the ocean's depth. Calculate and interpret results, and communicate them to management.",http://data.europa.eu/esco/skill/7ca69606-5ffc-4668-ae53-713c1f1612e6,operating scientific and laboratory equipment
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a35b9b1c-ebfe-41ac-96be-2a7b2ea04670,file-based workflow,released,knowledge,sector-specific,file-based workflow | file-based workflows,"The recording of moving images without using tape, but by storing these digital videos on optical disks, hard drives, and other digital storage devices.",http://data.europa.eu/esco/isced-f/0211,audio-visual techniques and media production
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a3882117-5ace-40b3-ad39-014d8b53c835,produce scanned images,released,skill/competence,sector-specific,producing scanned images | generate scanned images | create scanned images | produce scanned image | produce scanned images | make scanned images,Produce scanned images that satisfy different categories and are free of potential defects.,http://data.europa.eu/esco/skill/a556a3db-cd48-42a5-825c-f95f6f5ccbfe,creating visual displays and decorations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a3bd38a7-06e4-4e9c-8bbc-75aa36871801,operate mailing information systems,released,skill/competence,sector-specific,utilise mailing information systems | process and handle mail using mailing information systems | operate mailing information systems | utilise mail information systems | operate mail information systems | perform mailing information system operations | use mailing information systems | carry out operations using mailing information systems | handle and process mail using mailing information systems | use mail information systems | perform operations using mailing information systems,Operate mailing information systems in order to record the processing and handling of mail. Record faults and identify packages that were not delivered. Ensure mail and small packages are traceable until they are delivered to the recipients.,http://data.europa.eu/esco/skill/1034004c-0347-4765-8794-b65d2c92b379,documenting and recording information
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a3ce2bf7-5562-4639-9b52-fdb4850a3904,ICT problem management techniques,released,knowledge,sector-specific,ICT problem management techniques,The techniques related to identifying the solutions of the root cause of ICT incidents.,http://data.europa.eu/esco/isced-f/0611,computer use
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a3e7ebba-5183-4df8-9203-35b9b9b8f4fa,collect customer data,released,skill/competence,sector-specific,collect data of clients | gather information on clients | gather client information | collect data of customers | compile customer data | gather consumer information | collect customer data | assemble customer data | gather information on customers | gather customer information | collect client data,"Collect customer data such as contact information, credit card or billing information; gather information to track down purchase history.",http://data.europa.eu/esco/skill/29dcc31e-a8d6-4a62-b3c1-2de81e966e39,gathering information from physical or electronic sources
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a4346013-a967-4a58-a533-6b32ad1364c5,data protection,released,knowledge,sector-specific,principles of information privacy | protection of private information | data privacy | protection of private data | paradigms of data protection | principles of data privacy | principles of data protection | paradigms of data privacy | data protection | protection of data | information privacy,"The principles, ethical issues, regulations and protocols of data protection.",http://data.europa.eu/esco/isced-f/0612,database and network design and administration
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a46743b7-ff8c-49b6-99f7-7fa5bc241771,use electronic health records in nursing,released,skill/competence,sector-specific,work with electronic health records in nursing | use of electronic health records in nursing | document nursing assessment electronically | electronic health records use in nursing | use electronic health records in nursing | electronic health-records use in nursing | using electronic health records in nursing,"Use electronic health records to document nursing assessment, diagnosis, interventions and outcomes based on comparable nursing classification systems and nursing taxonomy.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c | http://data.europa.eu/esco/skill/4463a721-69f3-413d-8321-43e3af13a4f1,"managing, gathering and storing digital data | use databases"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a47d194d-0ffd-4aaa-b695-fbbe0255000e,design information system,released,skill/competence,sector-specific,design information system | design ICT system,"Define the architecture, composition, components, modules, interfaces and data for integrated information systems (hardware, software and network), based on system requirements and specifications.",http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,designing ict systems or applications
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a4881e54-6055-4e61-855a-0a56ced7cfa3,web strategy assessment,released,knowledge,sector-specific,online assessment | analysis of web strategy | web presence assessment,Techniques for conducting a deep analysis of a company's web presence.,http://data.europa.eu/esco/isced-f/0414,marketing and advertising
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a48e97cc-9240-46e3-b62d-a6935f132bea,locate fossils,released,skill/competence,occupation-specific,locate fossil | locate fossils | locating fossil | discover fossils | identify fossils | locating fossils | uncover fossils | find fossils,Determine the location of fossils using radar scanners and other equipment.,http://data.europa.eu/esco/skill/7ca69606-5ffc-4668-ae53-713c1f1612e6,operating scientific and laboratory equipment
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a4a882a1-0263-4dd2-b29a-f0028cac2393,define integration strategy,released,skill/competence,sector-specific,define integration strategy,"Specify strategies for system integration, incorporating the time schedule, the processes required to combine components into subsystems and systems, the means on how components will interface as well as the risks associated with the integration.",http://data.europa.eu/esco/skill/248894d1-42dc-474f-af6e-2da52ac0c679 | http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,define technology strategy | designing ict systems or applications
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a4b2a278-2123-4450-8b43-be01c4f341da,safeguard online privacy and identity,released,skill/competence,cross-sector,safeguard online privacy and identity | protect digital privacy | take action to ensure online privacy | protect digital identity | review online privacy settings,"Apply methods and procedures to secure private information in digital spaces by limiting the sharing of personal data where possible, through use of passwords and settings on social networks, mobile device apps, cloud storage and other places, while ensuring other people's privacy; protect oneself from online fraud and threats and cyberbullying.",http://data.europa.eu/esco/skill/f4346299-e22a-4686-8e61-2c9b0cd51c7d | http://data.europa.eu/esco/skill/2b6e15f5-dfa0-4e7c-9687-5665b07e56a4,apply digital security measures | protecting privacy and personal data
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a4bead49-86a0-4849-8b6a-77cdcc157808,manufacturer's instructions for audiovisual equipment,released,knowledge,sector-specific,manufacturer's guidance for audio visual equipment | manufacturer's advice for audio visual equipment | the manufacturer's instructions for audio-visual equipment | manufacturer's directions for audio visual equipment | manufacturer's information for audio visual equipment | manufacturer's instructions for audiovisual equipment | a manufacturer's instructions for audio-visual equipment | manufacturer's instruction for audio-visual equipment,"Manufacturer's instructions required to install audio and video equipment, as specified in the user's manual.",http://data.europa.eu/esco/isced-f/0211,audio-visual techniques and media production
